language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,lastCloseTevEbitLtm,lastClosePriceToNNWCPerShare,currency,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,cryptoTradeable,averageAnalystRating,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,dividendYield,marketState,epsTrailingTwelveMonths,epsForward,epsCurrentYear,regularMarketChangePercent,exchange,fiftyTwoWeekLow,fiftyTwoWeekHigh,shortName,displayName,symbol,ipoExpectedDate,prevName,nameChangeDate
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,11.022447,19.240717481028437,USD,19.497824,11987800,36.401,157.1234,22.0616,0.14040938,126.05545,53.129547,0.4214776,2148033792,19.30873,4.922529,15,0,America/New_York,EDT,-14400000,False,False,False,3.0 - Hold,True,322151400000,2,45.934998,1722434117,179.185,181.97,162.01 - 181.97,162.01,577977,133.25,128.0,207.52,2,2,us_market,finmb_297711,NasdaqGS,"Powell Industries, Inc.",USD,169.01,373177,449590,106.674995,1.4711763,72.51 - 209.14,-29.955002,-0.14322942,55.77507,1718150400.0,1722369600.0,1722369600.0,1722369600.0,1722438000.0,1722438000.0,False,0.263,21.255634,1.06,0.0019737338,0.8,REGULAR,8.43,9.28,9.19,34.472797,NMS,72.51,209.14,"Powell Industries, Inc.",Powell Industries,POWL,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,27.1123,-1.0823098055370053,USD,15.743804,347460000,9.119,87.8526,-8.818703,-0.10038067,59.77725,19.256649,0.3221401,28352620544,12.686019,8.666947,15,0,America/New_York,EDT,-14400000,False,False,False,1.8 - Buy,True,1475674200000,2,10.033897,1722434124,79.0339,82.83,77.94 - 82.83,77.94,4296743,69.0,0.0,0.0,9,8,us_market,finmb_7959935,NYSE,Vistra Corp.,USD,82.44,8896751,7341410,51.491898,1.8695773,27.542 - 107.24,-28.2061,-0.26301846,146.5166,1719532800.0,1723120200.0,1723120200.0,1723120200.0,1723125600.0,1723125600.0,False,0.838,48.487053,0.87,0.012144928,1.26,REGULAR,1.63,6.23,5.02,14.541881,NYQ,27.542,107.24,Vistra Corp.,,VST,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,26.806583,-4.337519813192856,USD,29.045,106246000,20.239,77.8226,9.312401,0.119661905,72.01035,15.124649,0.21003437,9318914048,25.329943,4.3053017,15,0,America/New_York,EDT,-14400000,False,False,False,1.5 - Strong Buy,True,1557322200000,2,9.955002,1722434103,87.135,89.51,83.63 - 89.51,83.63,612373,77.18,0.0,0.0,18,11,us_market,finmb_199424,NYSE,Parsons Corporation,USD,83.63,855666,770680,36.657,0.7261976,50.478 - 89.51,-2.375,-0.026533348,41.82286,,1722429000.0,1722429000.0,1722429000.0,1722427200.0,1722427200.0,False,0.0,484.0833,,0.0,,REGULAR,0.18,3.44,3.0,12.898421,NYQ,50.478,89.51,Parsons Corporation,Parsons,PSN,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,610.893105,,USD,159.01282,50841200,46.143,116.9873,7.0427017,0.06020057,83.77214,40.25786,0.4805638,6305833984,31.0075,2.6879482,15,0,America/New_York,EDT,-14400000,False,False,False,1.5 - Strong Buy,True,1685712600000,2,13.169998,1722434121,124.03,130.95,122.89 - 130.95,122.89,739760,110.86,122.93,124.6,1,1,us_market,finmb_276190901,NasdaqGS,Talen Energy Corporation,USD,130.0,715761,1026220,73.53,1.4560395,50.5 - 135.55,-11.520004,-0.08498712,107.700226,,,,,,,,0.0,,,0.0,,REGULAR,,4.0,0.78,11.879847,NMS,50.5,135.55,Talen Energy Corporation,Talen Energy,TLN,2024-07-10,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,69.814466,-1.0184263653958712,USD,36.694443,157900000,15.407,52.4752,6.969799,0.13282081,62.9481,-3.5031013,-0.05565063,9386365952,29.574627,3.8583112,15,0,America/New_York,EDT,-14400000,False,False,False,2.3 - Buy,True,1524749400000,2,5.7649994,1722434123,59.445,59.99,55.24 - 59.99,55.24,670067,53.68,0.0,0.0,8,10,us_market,finmb_246737890,NYSE,Dayforce Inc,USD,56.14,1939064,2101760,12.364998,0.262638,47.08 - 75.53,-16.085,-0.21296173,-19.880598,,1722429000.0,1722429000.0,1722429000.0,1722427200.0,1722427200.0,False,0.0,180.13635,,0.0,,REGULAR,0.33,2.01,1.62,10.724583,NYQ,47.08,75.53,"Dayforce, Inc.",Dayforce,DAY,,Ceridian HCM Holding Inc.,2024-07-29
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,13.112329,-2.2782126920982497,USD,17.667454,265668000,-0.493,31.4089,6.0461025,0.19249648,33.50845,3.9465523,0.117777824,9950595072,15.477273,-75.97363,15,0,America/New_York,EDT,-14400000,False,False,False,2.2 - Buy,True,727453800000,2,3.7650032,1722434124,37.455,38.07,36.13 - 38.07,36.13,2771378,33.69,34.39,38.08,2,10,us_market,finmb_355279,NasdaqGS,"Match Group, Inc.",USD,37.8,5667420,5546640,9.800001,0.35436633,27.655 - 49.24,-11.785,-0.23933792,-26.360655,1545177600.0,1722369600.0,1730232000.0,1730750400.0,1722429000.0,1722429000.0,True,0.0,16.427633,,0.0,,REGULAR,2.28,2.42,2.12,11.175432,NMS,27.655,49.24,"Match Group, Inc.",Match,MTCH,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,60.22692,42.496193619614324,USD,39.89231,45143300,9.826,114.2742,-10.554199,-0.092358544,83.38675,20.333252,0.24384272,4682263040,33.350483,10.555669,15,0,America/New_York,EDT,-14400000,False,False,False,1.7 - Buy,True,964791000000,2,9.660004,1722434122,103.72,103.75,99.5 - 103.75,99.5,180712,94.06,102.87,103.99,2,2,us_market,finmb_527153,NasdaqGM,Camtek Ltd.,USD,99.5,608809,1041030,59.64,1.3529944,44.08 - 140.5,-36.78,-0.26177934,105.77554,1713398400.0,1722515400.0,1722515400.0,1722515400.0,1722517200.0,1722517200.0,False,0.0,58.269665,1.33,0.0,1.41,REGULAR,1.78,3.11,2.6,10.270044,NGM,44.08,140.5,Camtek Ltd.,Camtek,CAMT,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,368.945138,588.9226633122986,USD,43.80229,1616310016,34.943,162.2724,-9.402405,-0.057942107,153.8899,-1.0198975,-0.0066274493,247085301760,27.744099,4.374839,15,0,America/New_York,EDT,-14400000,False,False,False,1.9 - Buy,True,322151400000,2,14.429993,1722434127,152.87,153.5,147.5 - 153.5,147.5,20178475,138.44,152.59,152.77,2,1,us_market,finmb_168864,NasdaqGS,"Advanced Micro Devices, Inc.",USD,150.73,51734209,54446360,59.749992,0.6416451,93.12 - 227.3,-74.43001,-0.32745275,26.60265,,1722370548.0,1730199540.0,1730721600.0,1722373200.0,1722373200.0,True,0.0,181.9881,,0.0,,REGULAR,0.84,5.51,3.49,10.423283,NMS,93.12,227.3,"Advanced Micro Devices, Inc.",Advanced Micro Devices,AMD,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,57.019363,174.68324813303514,USD,42.156837,24598300672,1.998,119.3795,-4.7128983,-0.039478287,79.57382,35.09278,0.4410091,2820603641856,30.65952,57.39069,15,0,America/New_York,EDT,-14400000,False,False,False,1.8 - Buy,True,917015400000,2,10.9366,1722434127,114.6666,114.67,110.88 - 114.67,110.88,93035665,103.73,114.64,114.68,1,1,us_market,finmb_32307,NasdaqGS,NVIDIA Corporation,USD,112.9,371219280,316931870,75.4366,1.9229314,39.23 - 140.76,-26.093391,-0.18537505,134.31747,1719532800.0,1724875200.0,1724875200.0,1724875200.0,1716411600.0,1716411600.0,False,0.016,67.05649,0.04,0.0001542466,0.04,REGULAR,1.71,3.74,2.72,10.543332,NMS,39.23,140.76,NVIDIA Corporation,NVIDIA,NVDA,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,23.202154,-9.930026997908397,USD,28.999998,52394700,14.774,101.039,6.550995,0.0648363,78.546,29.043999,0.3697706,5637145600,24.507973,7.2823877,15,0,America/New_York,EDT,-14400000,False,False,False,1.7 - Buy,True,401376600000,2,8.669998,1722434118,107.59,109.57,102.44 - 109.57,102.44,225824,98.92,0.0,0.0,12,8,us_market,finmb_288838,NYSE,Modine Manufacturing Company,USD,103.0,879309,903070,70.25,1.8813604,37.34 - 120.11,-12.520004,-0.10423782,159.08852,,1722369600.0,1730285940.0,1730721600.0,1722438000.0,1722438000.0,True,0.0,35.50825,,0.0,,REGULAR,3.03,4.39,3.71,8.764657,NYQ,37.34,120.11,Modine Manufacturing Company,,MOD,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,8.072135,-1.9306252280623766,USD,8.695332,227838000,25.637,33.6218,1.7681999,0.052590877,33.96435,1.4256477,0.041974824,8063186432,7.6601734,1.3804268,15,0,America/New_York,EDT,-14400000,False,False,False,2.4 - Buy,True,745248600000,2,2.9399986,1722434113,35.39,36.66,34.8 - 36.66,34.8,828808,32.45,0.0,0.0,13,22,us_market,finmb_25708,NYSE,BorgWarner Inc.,USD,36.0,2864690,2843200,5.879999,0.19925445,29.51 - 46.73,-11.34,-0.24267067,-24.499767,1726444800.0,1722429000.0,1722429000.0,1722429000.0,1722432600.0,1722432600.0,False,0.5,12.161511,0.44,0.01540832,1.36,REGULAR,2.91,4.62,4.07,9.060088,NYQ,29.51,46.73,BorgWarner Inc.,BorgWarner,BWA,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,13.717846,-0.30980205421993984,USD,-251.5625,216052992,21.094,36.616,3.6339989,0.0992462,41.1059,-0.8558998,-0.020821825,8696132608,23.265896,1.9081255,15,0,America/New_York,EDT,-14400000,False,False,False,2.2 - Buy,True,1411392600000,2,3.3499985,1722434126,40.25,41.49,39.5 - 41.49,39.5,2882315,36.9,37.18,43.7,2,2,us_market,finmb_3133890,NasdaqGS,"Caesars Entertainment, Inc.",USD,39.81,4826448,4843770,8.51,0.26811594,31.74 - 58.29,-18.04,-0.30948704,-33.26099,,1722369660.0,1730199540.0,1730721600.0,1722375000.0,1722375000.0,True,0.0,11.370056,,0.0,,REGULAR,3.54,1.73,-0.16,9.085973,NMS,31.74,58.29,"Caesars Entertainment, Inc.",Caesars Entertainment,CZR,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,26.779296,-1.7073996336300101,USD,23.659615,315235008,35.552,207.8364,-23.291397,-0.112066016,160.67474,23.870255,0.14856258,59582754816,21.310047,5.1908474,15,0,America/New_York,EDT,-14400000,False,False,False,2.1 - Buy,True,1642602600000,2,15.854996,1722434124,184.545,196.5,183.33 - 196.5,183.33,1552153,168.69,183.94,184.97,2,3,us_market,finmb_3136719,NasdaqGS,Constellation Energy Corporation,USD,193.76,3351279,3831570,90.115,0.95430475,94.43 - 236.3,-51.755005,-0.21902245,76.54631,1717977600.0,1722947400.0,1722947400.0,1722947400.0,1722952800.0,1722952800.0,False,1.199,24.605999,1.41,0.0071077123,0.84,REGULAR,7.5,8.66,7.8,9.398894,NMS,94.43,236.3,Constellation Energy Corporatio,Constellation Energy,CEG,,"Exelon Generation Company, LLC",2024-07-29
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,39.076074,23.91731204919326,USD,42.60458,313363008,26.874,329.4584,10.100098,0.03065667,270.8599,68.69861,0.25363153,109524598784,37.35517,12.635205,15,0,America/New_York,EDT,-14400000,False,False,False,2.1 - Buy,True,1402061400000,2,28.138489,1722434125,339.5585,341.785,331.05 - 341.785,331.05,1024082,311.42,0.0,0.0,10,8,us_market,finmb_33348547,NYSE,"Arista Networks, Inc.",USD,338.0,2463533,2675760,171.3085,1.0181783,168.25 - 376.5,-36.941498,-0.098118186,75.66562,,1722369900.0,1730113140.0,1730462400.0,1722371400.0,1722371400.0,True,0.0,43.984264,,0.0,,REGULAR,7.72,9.09,7.97,9.0355425,NYQ,168.25,376.5,"Arista Networks, Inc.",Arista Networks,ANET,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,12.873301,-4.573710770891982,USD,14.56456,118601000,15.206,56.0922,-3.0772018,-0.05485971,40.8061,12.2089,0.29919302,6440739328,13.122524,3.4864526,15,0,America/New_York,EDT,-14400000,False,False,False,2.1 - Buy,True,899213400000,2,4.1349983,1722434125,53.015,53.09,51.795 - 53.09,51.795,740920,48.88,0.0,0.0,9,8,us_market,finmb_26238,NYSE,Celestica Inc.,USD,51.81,2342274,3387410,32.795,1.621909,20.22 - 63.49,-10.475002,-0.16498664,134.09962,,1721857686.0,1729713600.0,1730145600.0,1721908800.0,1721908800.0,True,0.0,17.325163,,0.0,,REGULAR,3.06,4.04,3.64,8.457758,NYQ,20.22,63.49,"Celestica, Inc.",Celestica,CLS,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,29.209731,-7.751089331549739,USD,31.562887,375148000,4.099,90.9654,-11.111298,-0.12214861,68.7409,11.113205,0.16166802,31995783168,24.722631,19.481361,15,0,America/New_York,EDT,-14400000,False,False,False,1.7 - Buy,True,1533216600000,2,6.8241043,1722434123,79.8541,80.91,77.99 - 80.91,77.99,3453693,73.03,0.0,0.0,8,10,us_market,finmb_579312452,NYSE,Vertiv Holdings Co,USD,80.595,9167251,12045530,48.284103,1.5294299,31.57 - 109.271,-29.4169,-0.2692105,112.977554,1719360000.0,1721814900.0,1729686600.0,1730118600.0,1721833200.0,1721833200.0,True,0.075,62.38602,0.1,0.0010269752,0.14,REGULAR,1.28,3.23,2.53,9.344248,NYQ,31.57,109.271,"Vertiv Holdings, LLC",Vertiv,VRT,,Vertiv Holdings Co.,2024-07-29
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,145.301401,-2.6278909305597007,USD,42.645454,152460992,35.005,69.2508,1.1141968,0.016089298,53.4871,16.8779,0.31555083,10727917568,22.995098,2.0101414,15,0,America/New_York,EDT,-14400000,False,False,False,2.2 - Buy,True,560179800000,2,5.2149963,1722434120,70.365,70.81,67.45 - 70.81,67.45,519612,65.15,0.0,0.0,9,8,us_market,finmb_309779,NYSE,Coherent Corp.,USD,69.0,2138912,2184550,41.894997,1.4715489,28.47 - 80.93,-10.565002,-0.13054495,41.323208,,1715030266.0,1723546740.0,1724068800.0,1715083200.0,1715083200.0,True,0.0,,,0.0,,REGULAR,-2.87,3.06,1.65,8.004599,NYQ,28.47,80.93,Coherent Corp.,Coherent,COHR,,II-VI Incorporated,2024-07-29
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,67.592052,-1.9877735482422616,USD,49.827637,274801984,33.007,171.056,3.8390045,0.022442969,161.58382,13.311188,0.08237946,50823434240,30.469515,5.2987247,15,0,America/New_York,EDT,-14400000,False,False,False,2.2 - Buy,True,1711978200000,2,12.195007,1722434119,174.895,176.5,171.25 - 176.5,171.25,590021,162.7,0.0,0.0,9,40,us_market,finmb_1818848396,NYSE,GE Vernova Inc.,USD,171.25,3208524,3724210,55.895004,0.4697059,119.0 - 185.5,-10.604996,-0.057169788,14.561331,,1721824200.0,1721824200.0,1721824200.0,1721820600.0,1721820600.0,False,0.0,44.054157,,0.0,,REGULAR,3.97,5.74,3.51,7.4953947,NYQ,119.0,185.5,GE Vernova Inc.,GE Vernova,GEV,2024-04-02,GE Vernova LLC,2024-07-29
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,52.053155,-7.735567687427747,USD,32.45283,4654879744,59.221,155.55992,-0.7599182,-0.0048850514,125.50266,29.29734,0.23344,753846648832,25.586777,2.6139376,15,0,America/New_York,EDT,-14400000,False,False,False,1.9 - Buy,True,1249565400000,2,11.279999,1722434126,154.8,154.84,151.0 - 154.84,151.0,5849568,143.52,154.59,154.95,1,2,us_market,finmb_25016048,NasdaqGS,Broadcom Inc.,USD,151.47,36103701,29446240,75.291,0.94694936,79.509 - 185.162,-30.362,-0.16397533,60.842766,1719532800.0,1718223306.0,1724929140.0,1725278400.0,1718226000.0,1718226000.0,True,2.035,66.437775,2.1,0.014179208,1.46,REGULAR,2.33,6.05,4.77,7.859531,NMS,79.509,185.162,Broadcom Inc.,Broadcom,AVGO,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,9.762496,-1.2787190904817884,USD,13.090164,2505720064,30.163,8.3998,-0.41480017,-0.049382146,7.9913,-0.0062999725,-0.0007883539,20475537408,11.246479,0.2647283,15,0,America/New_York,EDT,-14400000,False,False,False,3.0 - Hold,True,969370200000,2,0.5550003,1722434126,7.985,8.05,7.79 - 8.05,7.79,1686991,7.43,0.0,0.0,280,40,us_market,finmb_528092,NYSE,United Microelectronics Corporation,TWD,7.9,9791509,17827260,1.2750001,0.19001491,6.71 - 9.0,-1.0149999,-0.11277776,3.0513167,1722988800.0,1722423540.0,1722423540.0,1722423540.0,1722416400.0,1722416400.0,False,3.0,11.917911,0.46,0.4037685,6.13,REGULAR,0.67,0.71,0.61,7.474752,NYQ,6.71,9.0,United Microelectronics Corpora,United Microelectronics,UMC,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,39.769699,-28.131415872927565,USD,44.94298,393200000,37.414,995.2356,-73.005615,-0.07335511,861.367,60.862976,0.07065859,368971317248,28.19413,24.649328,15,0,America/New_York,EDT,-14400000,False,False,False,1.7 - Buy,True,795277800000,2,61.98999,1722434120,922.23,929.5,919.5341 - 929.5,919.5341,643445,860.24,922.52,923.51,1,2,us_market,finmb_388904,NasdaqGS,ASML Holding N.V.,EUR,926.0,1140383,2112670,358.22998,0.63515955,564.0 - 1110.09,-187.85999,-0.1692295,25.939156,1722988800.0,1729054800.0,1729054800.0,1729054800.0,1721221200.0,1721221200.0,False,4.65,49.635628,6.65,0.0054054684,0.77,REGULAR,18.58,32.71,20.52,7.2061276,NMS,564.0,1110.09,ASML Holding N.V. - New York Re,ASML Holding,ASML,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,30.448556,-11.751938324225485,USD,29.128206,399892000,48.254,320.8568,-14.13681,-0.04405956,279.1644,27.555603,0.09870744,122654875648,26.10383,6.3563643,15,0,America/New_York,EDT,-14400000,False,False,False,2.2 - Buy,True,76253400000,2,19.480011,1722434124,306.72,310.87,303.31 - 310.87,303.31,1232145,287.24,0.0,0.0,8,13,us_market,finmb_175265,NYSE,Eaton Corporation plc,USD,306.19,2190698,3358340,114.899994,0.598999,191.82 - 345.19,-38.47,-0.111445874,31.23772,1724371200.0,1722515400.0,1722515400.0,1722515400.0,1722524400.0,1722524400.0,False,3.52,36.212513,3.76,0.012254561,1.31,REGULAR,8.47,11.75,10.53,6.7817893,NYQ,191.82,345.19,"Eaton Corporation, PLC",Eaton,ETN,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,-74.786251,-19.65946659824797,USD,89.68033,1108839936,39.878,129.3296,-19.919601,-0.15402198,100.7989,8.611107,0.08542858,121318178816,11.456545,2.7436182,15,0,America/New_York,EDT,-14400000,False,False,False,1.8 - Buy,True,454944600000,2,6.850006,1722434127,109.41,110.3995,108.16 - 110.3995,108.16,4594430,102.56,109.32,109.53,1,2,us_market,finmb_289030,NasdaqGS,"Micron Technology, Inc.",USD,109.8,21745090,22853650,47.660004,0.7718219,61.75 - 157.54,-48.12999,-0.30550966,50.44742,1721692800.0,1719432297.0,1727261940.0,1727697600.0,1719439200.0,1719439200.0,True,0.46,,0.46,0.0044851797,0.45,REGULAR,-1.41,9.55,1.22,6.67707,NMS,61.75,157.54,"Micron Technology, Inc.",Micron Technology,MU,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,35.309182,31.65999433247961,USD,29.902887,58556500,86.999,829.5902,-116.1073,-0.13995741,653.8121,59.670837,0.091266036,41779060736,20.78913,8.201047,15,0,America/New_York,EDT,-14400000,False,False,False,2.2 - Buy,True,1175175000000,2,47.172913,1722434126,713.4829,720.56,700.77 - 720.56,700.77,1244699,666.31,711.86,716.74,1,1,us_market,finmb_6479558,NasdaqGS,"Super Micro Computer, Inc.",USD,710.01,6305661,5620780,486.8929,2.1487837,226.59 - 1229.0,-515.5171,-0.41946062,108.475945,,1722985200.0,1722985200.0,1722985200.0,1722978000.0,1722978000.0,False,0.0,39.659973,,0.0,,REGULAR,17.99,34.32,23.86,7.0797243,NMS,226.59,1229.0,"Super Micro Computer, Inc.",Super Micro Computer,SMCI,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,48.035391,-1.1861732694451426,USD,28.996124,56799100,-4.417,66.1524,8.6576,0.13087358,62.4927,12.317299,0.1970998,4249140480,20.273712,-16.936834,15,0,America/New_York,EDT,-14400000,False,False,False,2.4 - Buy,True,696868200000,2,4.5699997,1722434126,74.81,76.99,73.0 - 76.99,73.0,304552,70.24,0.0,0.0,8,8,us_market,finmb_322121,NYSE,The Scotts Miracle-Gro Company,USD,73.0,910951,771230,31.14,0.71307534,43.67 - 77.95,-3.1399994,-0.040282227,21.39647,1717718400.0,1722429000.0,1722429000.0,1722429000.0,1722430800.0,1722430800.0,False,2.64,,2.64,0.037585422,3.76,REGULAR,-6.25,3.69,2.58,6.5081167,NYQ,43.67,77.95,Scotts Miracle-Gro Company (The,,SMG,,,
